Fechamento,Abertura,Máxima,Mínima,num,X,loja,date,GMV,TR,Bonus,Comissao
,,,,,,,,,,,
3.9285,3.9708,3.9781,3.9251,2773,2773,Loja 8,2019-01-01,2573,17,7719,192
3.9710,3.9710,4.0006,3.9640,2774,2774,Loja 8,2019-01-02,7107,42,21325,533
3.9695,3.9386,3.9754,3.9386,2775,2775,Loja 8,2019-01-03,13121,63,39362,983
3.9383,3.9383,3.9383,3.9383,2776,2776,Loja 8,2019-01-04,12376,63,37130,926
3.9382,3.9669,3.9684,3.9304,2777,2777,Loja 8,2019-01-05,10719,58,35245,880
3.9661,3.9198,3.9722,3.9181,2778,2778,Loja 8,2019-01-06,6642,34,19925,497
3.9202,3.9201,3.9220,3.9182,2779,2779,Loja 8,2019-01-07,14280,70,42843,1070
3.9215,3.9453,3.9573,3.9127,2780,2780,Loja 8,2019-01-08,13704,60,39038,975
3.9456,3.9304,3.9466,3.9214,2781,2781,Loja 8,2019-01-09,16914,78,50730,1258
3.9293,3.9505,3.9758,3.9194,2782,2782,Loja 8,2019-01-10,13961,71,41366,1032
3.9542,3.9918,4.0071,3.9467,2783,2783,Loja 8,2019-01-11,18977,73,56916,1420
3.9927,3.9204,3.9942,3.9185,2784,2784,Loja 8,2019-01-12,12303,57,36898,921
3.9211,3.9370,3.9648,3.9131,2785,2785,Loja 8,2019-01-13,15373,69,45132,1126
3.9365,3.9268,3.9394,3.9127,2786,2786,Loja 8,2019-01-14,24172,107,156619,3127
3.9275,3.9275,3.9275,3.9275,2787,2787,Loja 8,2019-01-15,42790,151,232563,4650
3.9274,3.9409,3.9522,3.9047,2788,2788,Loja 8,2019-01-16,36908,161,197387,3942
3.9382,3.9052,3.9477,3.8859,2789,2789,Loja 8,2019-01-17,17677,76,62467,1480
3.9040,3.8730,3.9085,3.8687,2790,2790,Loja 8,2019-01-18,7919,48,22276,555
3.8723,3.8811,3.8908,3.8588,2791,2791,Loja 8,2019-01-19,6848,35,20540,512
3.8819,3.8819,3.8819,3.8819,2792,2792,Loja 8,2019-01-20,9977,42,29939,748
3.8819,3.8584,3.9080,3.8575,2793,2793,Loja 8,2019-01-21,15027,62,45086,1127
3.8582,3.8264,3.8636,3.8264,2794,2794,Loja 8,2019-01-22,13469,70,40412,1009
3.8251,3.8511,3.8542,3.8144,2795,2795,Loja 8,2019-01-23,18338,81,55014,1375
3.8510,3.8500,3.8649,3.8462,2796,2796,Loja 8,2019-01-24,15092,72,45277,1131
3.8495,3.8720,3.8773,3.8415,2797,2797,Loja 8,2019-01-25,13867,63,41612,1040
3.8735,3.8589,3.8766,3.8415,2798,2798,Loja 8,2019-01-26,15157,50,45473,1136
3.8590,3.8708,3.8876,3.8472,2799,2799,Loja 8,2019-01-27,14469,60,43409,1085
3.8700,3.8538,3.8824,3.8327,2800,2800,Loja 8,2019-01-28,16137,84,48412,1210
3.8537,3.8523,3.8800,3.8483,2801,2801,Loja 8,2019-01-29,15718,83,47160,1179
3.8518,3.8897,3.8932,3.8492,2802,2802,Loja 8,2019-01-30,17949,91,53849,1346
3.9247,3.9016,3.9347,3.8679,2803,2803,Loja 8,2019-01-31,17867,82,53593,1339
3.9010,3.9927,4.0159,3.8982,2804,2804,Loja 8,2019-02-01,12794,57,38384,959
3.9935,3.8739,4.0019,3.8725,2805,2805,Loja 8,2019-02-02,11693,53,35080,875
3.8773,3.8529,3.8794,3.8333,2806,2806,Loja 8,2019-02-03,9686,47,29059,726
3.8544,3.9047,3.9374,3.8438,2807,2807,Loja 8,2019-02-04,28865,135,276735,5288
3.9071,3.7928,3.9169,3.7928,2808,2808,Loja 8,2019-02-05,14874,85,44629,1115
3.7930,3.7761,3.8382,3.7639,2809,2809,Loja 8,2019-02-06,30206,117,90617,2265
3.7763,3.7921,3.7994,3.7386,2810,2810,Loja 8,2019-02-07,16244,78,52150,1303
3.7891,3.7912,3.8001,3.7647,2811,2811,Loja 8,2019-02-08,14709,67,44129,1103
3.7915,3.8161,3.8277,3.7832,2812,2812,Loja 8,2019-02-09,10042,63,30126,753
3.8173,3.8173,3.8173,3.8173,2813,2813,Loja 8,2019-02-10,11318,55,33954,848
3.8144,3.8453,3.8725,3.8081,2814,2814,Loja 8,2019-02-11,16829,87,88619,1891
3.8443,3.8157,3.8556,3.8142,2815,2815,Loja 8,2019-02-12,19515,94,58550,1463
3.8147,3.8113,3.8352,3.7995,2816,2816,Loja 8,2019-02-13,21326,95,63974,1597
3.8114,3.8399,3.8445,3.8009,2817,2817,Loja 8,2019-02-14,13678,73,41036,1025
3.8403,3.8678,3.8685,3.8342,2818,2818,Loja 8,2019-02-15,16335,93,49008,1224
3.8668,3.8708,3.9032,3.8493,2819,2819,Loja 8,2019-02-16,9372,50,28119,702
3.8704,3.8405,3.9028,3.8159,2820,2820,Loja 8,2019-02-17,14937,65,44807,1120
3.8401,3.7763,3.8451,3.7746,2821,2821,Loja 8,2019-02-18,37049,149,418648,7666
3.7755,3.7755,3.7755,3.7755,2822,2822,Loja 8,2019-02-19,11250,65,33746,843
3.7755,3.7742,3.7755,3.7742,2823,2823,Loja 8,2019-02-20,19863,84,59591,1489
3.7747,3.7747,3.7747,3.7747,2824,2824,Loja 8,2019-02-21,18639,70,55919,1397
3.7752,3.7511,3.7957,3.7456,2825,2825,Loja 8,2019-02-22,18946,68,56847,1420
3.7514,3.7258,3.7592,3.7171,2826,2826,Loja 8,2019-02-23,17253,64,51759,1293
3.7287,3.7444,3.7478,3.7217,2827,2827,Loja 8,2019-02-24,12488,59,37464,936
3.7489,3.7519,3.7666,3.7378,2828,2828,Loja 8,2019-02-25,13155,59,39468,985
3.7521,3.7468,3.7523,3.7193,2829,2829,Loja 8,2019-02-26,17185,73,51564,1287
3.7476,3.7476,3.7476,3.7476,2830,2830,Loja 8,2019-02-27,11126,64,33372,833
3.7485,3.7683,3.7683,3.7262,2831,2831,Loja 8,2019-02-28,15253,81,45759,1143
3.7696,3.7256,3.7721,3.7149,2832,2832,Loja 8,2019-03-01,9671,48,29014,725
3.7277,3.7243,3.7372,3.6900,2833,2833,Loja 8,2019-03-02,12043,45,36137,902
3.7231,3.7334,3.7449,3.7029,2834,2834,Loja 8,2019-03-03,6639,38,19919,497
3.7353,3.7012,3.7422,3.7012,2835,2835,Loja 8,2019-03-04,10475,52,31423,785
3.7008,3.7203,3.7264,3.6983,2836,2836,Loja 8,2019-03-05,7304,37,21916,547
3.7233,3.7514,3.7952,3.7137,2837,2837,Loja 8,2019-03-06,16883,85,50648,1266
3.7544,3.7104,3.7619,3.7104,2838,2838,Loja 8,2019-03-07,19197,84,57593,1439
3.7098,3.7437,3.7470,3.7021,2839,2839,Loja 8,2019-03-08,14662,81,43990,1099
3.7577,3.7312,3.7747,3.7274,2840,2840,Loja 8,2019-03-09,8920,54,34847,870
,,,,2841,2841,Loja 8,2019-03-10,11906,59,39168,979
3.9285,3.9708,3.9781,3.9251,2842,2842,Loja 8,2019-03-11,19978,91,109853,2246
3.9710,3.9710,4.0006,3.9640,2843,2843,Loja 8,2019-03-12,17369,89,97848,1988
3.9695,3.9386,3.9754,3.9386,2844,2844,Loja 8,2019-03-13,13997,78,58246,1326
3.9383,3.9383,3.9383,3.9383,2845,2845,Loja 8,2019-03-14,13170,74,54172,1207
3.9382,3.9669,3.9684,3.9304,2846,2846,Loja 8,2019-03-15,15076,86,45231,1130
3.9661,3.9198,3.9722,3.9181,2847,2847,Loja 8,2019-03-16,11142,56,33433,835
3.9202,3.9201,3.9220,3.9182,2848,2848,Loja 8,2019-03-17,11467,53,34398,859
3.9215,3.9453,3.9573,3.9127,2849,2849,Loja 8,2019-03-18,14704,92,44116,1102
3.9456,3.9304,3.9466,3.9214,2850,2850,Loja 8,2019-03-19,14303,73,42911,1072
3.9293,3.9505,3.9758,3.9194,2851,2851,Loja 8,2019-03-20,16855,86,50563,1264
3.9542,3.9918,4.0071,3.9467,2852,2852,Loja 8,2019-03-21,14668,77,44008,1099
3.9927,3.9204,3.9942,3.9185,2853,2853,Loja 8,2019-03-22,11342,58,34028,850
3.9211,3.9370,3.9648,3.9131,2854,2854,Loja 8,2019-03-23,11353,52,34058,851
3.9365,3.9268,3.9394,3.9127,2855,2855,Loja 8,2019-03-24,13678,56,41029,1025
3.9275,3.9275,3.9275,3.9275,2856,2856,Loja 8,2019-03-25,17259,76,51783,1294
3.9274,3.9409,3.9522,3.9047,2857,2857,Loja 8,2019-03-26,15784,83,47358,1183
3.9382,3.9052,3.9477,3.8859,2858,2858,Loja 8,2019-03-27,15907,70,47728,1193
3.9040,3.8730,3.9085,3.8687,2859,2859,Loja 8,2019-03-28,14361,76,43082,1076
3.8723,3.8811,3.8908,3.8588,2860,2860,Loja 8,2019-03-29,11876,57,35630,889
3.8819,3.8819,3.8819,3.8819,2861,2861,Loja 8,2019-03-30,13365,57,40095,1001
3.8819,3.8584,3.9080,3.8575,2862,2862,Loja 8,2019-03-31,10833,62,32497,812
3.8582,3.8264,3.8636,3.8264,2863,2863,Loja 8,2019-04-01,15689,89,61656,1394
3.8251,3.8511,3.8542,3.8144,2864,2864,Loja 8,2019-04-02,18545,90,72169,1638
3.8510,3.8500,3.8649,3.8462,2865,2865,Loja 8,2019-04-03,12200,63,36596,913
3.8495,3.8720,3.8773,3.8415,2866,2866,Loja 8,2019-04-04,13613,67,40838,1020
3.8735,3.8589,3.8766,3.8415,2867,2867,Loja 8,2019-04-05,14191,76,42577,1063
3.8590,3.8708,3.8876,3.8472,2868,2868,Loja 8,2019-04-06,9587,50,28763,718
3.8700,3.8538,3.8824,3.8327,2869,2869,Loja 8,2019-04-07,15031,68,45094,1126
3.8537,3.8523,3.8800,3.8483,2870,2870,Loja 8,2019-04-08,22249,103,128139,2587
3.8518,3.8897,3.8932,3.8492,2871,2871,Loja 8,2019-04-09,22066,113,119156,2448
3.9247,3.9016,3.9347,3.8679,2872,2872,Loja 8,2019-04-10,18858,81,56572,1414
3.9010,3.9927,4.0159,3.8982,2873,2873,Loja 8,2019-04-11,17894,81,53684,1340
3.9935,3.8739,4.0019,3.8725,2874,2874,Loja 8,2019-04-12,23649,100,204265,3962
3.8773,3.8529,3.8794,3.8333,2875,2875,Loja 8,2019-04-13,12108,66,117195,2235
3.8544,3.9047,3.9374,3.8438,2876,2876,Loja 8,2019-04-14,21103,98,199067,3811
3.9071,3.7928,3.9169,3.7928,2877,2877,Loja 8,2019-04-15,15835,86,47508,1187
3.7930,3.7761,3.8382,3.7639,2878,2878,Loja 8,2019-04-16,11811,55,35429,885
3.7763,3.7921,3.7994,3.7386,2879,2879,Loja 8,2019-04-17,14430,64,43291,1081
3.7891,3.7912,3.8001,3.7647,2880,2880,Loja 8,2019-04-18,8927,56,26784,669
3.7915,3.8161,3.8277,3.7832,2881,2881,Loja 8,2019-04-19,12421,51,37267,930
3.8173,3.8173,3.8173,3.8173,2882,2882,Loja 8,2019-04-20,13350,52,40051,1001
3.8144,3.8453,3.8725,3.8081,2883,2883,Loja 8,2019-04-21,13006,47,39019,975
3.8443,3.8157,3.8556,3.8142,2884,2884,Loja 8,2019-04-22,13507,59,40522,1011
3.8147,3.8113,3.8352,3.7995,2885,2885,Loja 8,2019-04-23,16369,76,49111,1227
3.8114,3.8399,3.8445,3.8009,2886,2886,Loja 8,2019-04-24,11730,68,35189,879
3.8403,3.8678,3.8685,3.8342,2887,2887,Loja 8,2019-04-25,13222,69,39667,991
3.8668,3.8708,3.9032,3.8493,2888,2888,Loja 8,2019-04-26,9064,50,27191,679
3.8704,3.8405,3.9028,3.8159,2889,2889,Loja 8,2019-04-27,5548,33,16644,416
3.8401,3.7763,3.8451,3.7746,2890,2890,Loja 8,2019-04-28,9066,40,27193,679
3.7755,3.7755,3.7755,3.7755,2891,2891,Loja 8,2019-04-29,10518,52,31558,788
3.7755,3.7742,3.7755,3.7742,2892,2892,Loja 8,2019-04-30,12366,56,37097,926
3.7747,3.7747,3.7747,3.7747,2893,2893,Loja 8,2019-05-01,11476,57,34429,860
3.7752,3.7511,3.7957,3.7456,2894,2894,Loja 8,2019-05-02,16441,85,49325,1231
3.7514,3.7258,3.7592,3.7171,2895,2895,Loja 8,2019-05-03,12878,67,38638,965
3.7287,3.7444,3.7478,3.7217,2896,2896,Loja 8,2019-05-04,12258,65,36771,918
3.7489,3.7519,3.7666,3.7378,2897,2897,Loja 8,2019-05-05,12221,59,36663,916
3.7521,3.7468,3.7523,3.7193,2898,2898,Loja 8,2019-05-06,19221,96,144909,2924
3.7476,3.7476,3.7476,3.7476,2899,2899,Loja 8,2019-05-07,15384,84,152966,2827
3.7485,3.7683,3.7683,3.7262,2900,2900,Loja 8,2019-05-08,14907,70,44720,1118
3.7696,3.7256,3.7721,3.7149,2901,2901,Loja 8,2019-05-09,13387,65,40161,1004
3.7277,3.7243,3.7372,3.6900,2902,2902,Loja 8,2019-05-10,12689,60,54205,1226
3.7231,3.7334,3.7449,3.7029,2903,2903,Loja 8,2019-05-11,7319,37,21956,548
3.7353,3.7012,3.7422,3.7012,2904,2904,Loja 8,2019-05-12,9391,44,28173,704
3.7008,3.7203,3.7264,3.6983,2905,2905,Loja 8,2019-05-13,18981,87,103458,2121
3.7233,3.7514,3.7952,3.7137,2906,2906,Loja 8,2019-05-14,12864,69,115772,2232
3.7544,3.7104,3.7619,3.7104,2907,2907,Loja 8,2019-05-15,13663,61,40988,1023
3.7098,3.7437,3.7470,3.7021,2908,2908,Loja 8,2019-05-16,12014,61,36041,900
3.7577,3.7312,3.7747,3.7274,2909,2909,Loja 8,2019-05-17,9555,48,28664,716
3.8114,3.8399,3.8445,3.8009,2910,2910,Loja 8,2019-05-18,7240,33,21720,543
3.8403,3.8678,3.8685,3.8342,2911,2911,Loja 8,2019-05-19,7852,44,23556,588
3.8668,3.8708,3.9032,3.8493,2912,2912,Loja 8,2019-05-20,10151,51,32995,799
3.8704,3.8405,3.9028,3.8159,2913,2913,Loja 8,2019-05-21,11089,55,33265,831
3.8401,3.7763,3.8451,3.7746,2914,2914,Loja 8,2019-05-22,11188,53,33565,839
3.7755,3.7755,3.7755,3.7755,2915,2915,Loja 8,2019-05-23,14596,69,43785,1094
3.9383,3.9383,3.9383,3.9383,2916,2916,Loja 8,2019-05-24,10492,57,31479,786
